French,English
chercher,search
police,police
pensais,thought
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
devrait,should
longtemps,long time
pendant,while
revoir,meet again
parle,speak
compris,understood
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
train,train
corps,body
endroit,place
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
pouvoir,power
sois,be
tiens,here
enfant,child
point,point
venu,came
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
aura,will have
jouer,to play
bureau,office
